pocket_id,receptor_path,ligand_path,ref_path,metal_atoms,n_atoms,n_residues,source
test_000,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/BSD_ASPTE_1_130_0/2z3h_A_rec_1wn6_bst_lig_tt_docked_3_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/BSD_ASPTE_1_130_0/2z3h_A_rec_1wn6_bst_lig_tt_docked_3.sdf,,,,,CrossDocked2020_local
test_001,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/GLMU_STRPN_2_459_0/4aaw_A_rec_4ac3_r83_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/GLMU_STRPN_2_459_0/4aaw_A_rec_4ac3_r83_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_002,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/GRK4_HUMAN_1_578_0/4yhj_A_rec_4yhj_an2_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_003,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_004,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/GUX1_HYPJE_18_451_0/2v3r_A_rec_1dy4_snp_lig_tt_docked_1_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/GUX1_HYPJE_18_451_0/2v3r_A_rec_1dy4_snp_lig_tt_docked_1.sdf,,,,,CrossDocked2020_local
test_005,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/HDAC8_HUMAN_1_377_0/4rn0_B_rec_4rn1_l8g_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/HDAC8_HUMAN_1_377_0/4rn0_B_rec_4rn1_l8g_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_006,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/HDHA_ECOLI_1_255_0/1fmc_B_rec_1fmc_cho_lig_tt_docked_1_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/HDHA_ECOLI_1_255_0/1fmc_B_rec_1fmc_cho_lig_tt_docked_1.sdf,,,,,CrossDocked2020_local
test_007,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/HMD_METJA_1_358_0/3daf_A_rec_3daf_feg_lig_tt_docked_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/HMD_METJA_1_358_0/3daf_A_rec_3daf_feg_lig_tt_docked_0.sdf,,,,,CrossDocked2020_local
test_008,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_009,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/IPMK_HUMAN_49_416_0/5w2g_A_rec_5w2i_adp_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_010,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/CD38_HUMAN_44_300_0/3dzh_A_rec_3u4i_cvr_lig_tt_docked_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/CD38_HUMAN_44_300_0/3dzh_A_rec_3u4i_cvr_lig_tt_docked_0.sdf,,,,,CrossDocked2020_local
test_011,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/KS6A3_HUMAN_41_357_0/3g51_A_rec_3g51_anp_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/KS6A3_HUMAN_41_357_0/3g51_A_rec_3g51_anp_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_012,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/CHOD_BREST_46_552_0/1coy_A_rec_1coy_and_lig_tt_docked_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/CHOD_BREST_46_552_0/1coy_A_rec_1coy_and_lig_tt_docked_0.sdf,,,,,CrossDocked2020_local
test_013,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/LAT_MYCTU_1_449_0/2jjg_A_rec_2jjg_plp_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/LAT_MYCTU_1_449_0/2jjg_A_rec_2jjg_plp_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_014,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/LMBL1_HUMAN_198_526_0/2rhy_A_rec_2rhy_mlz_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/LMBL1_HUMAN_198_526_0/2rhy_A_rec_2rhy_mlz_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_015,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/LMBL1_HUMAN_198_526_0/2pqw_A_rec_2rhy_mlz_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/LMBL1_HUMAN_198_526_0/2pqw_A_rec_2rhy_mlz_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_016,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/M3K14_HUMAN_321_678_0/4g3d_B_rec_4idv_13v_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/M3K14_HUMAN_321_678_0/4g3d_B_rec_4idv_13v_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_017,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/MENE_BACSU_2_486_0/5bur_A_rec_5x8f_amp_lig_tt_docked_7_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/MENE_BACSU_2_486_0/5bur_A_rec_5x8f_amp_lig_tt_docked_7.sdf,,,,,CrossDocked2020_local
test_018,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NAGZ_VIBCH_1_330_0/3gs6_A_rec_2oxn_oan_lig_tt_docked_4_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NAGZ_VIBCH_1_330_0/3gs6_A_rec_2oxn_oan_lig_tt_docked_4.sdf,,,,,CrossDocked2020_local
test_019,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NEP_HUMAN_54_750_0/1r1h_A_rec_1r1h_bir_lig_tt_docked_1_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NEP_HUMAN_54_750_0/1r1h_A_rec_1r1h_bir_lig_tt_docked_1.sdf,,,,,CrossDocked2020_local
test_020,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NQO1_HUMAN_2_274_0/1dxo_C_rec_1gg5_e09_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NQO1_HUMAN_2_274_0/1dxo_C_rec_1gg5_e09_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_021,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NQO1_HUMAN_2_274_0/1gg5_A_rec_1kbo_340_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NQO1_HUMAN_2_274_0/1gg5_A_rec_1kbo_340_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_022,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NR1H4_HUMAN_258_486_0/5q0k_A_rec_5q0q_9ld_lig_tt_docked_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/NR1H4_HUMAN_258_486_0/5q0k_A_rec_5q0q_9ld_lig_tt_docked_0.sdf,,,,,CrossDocked2020_local
test_023,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/OLIAC_CANSA_1_101_0/5b08_A_rec_5b09_4mx_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/OLIAC_CANSA_1_101_0/5b08_A_rec_5b09_4mx_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
test_024,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/PA21B_PIG_23_146_0/2azy_A_rec_2azy_chd_lig_tt_docked_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/PA21B_PIG_23_146_0/2azy_A_rec_2azy_chd_lig_tt_docked_0.sdf,,,,,CrossDocked2020_local
test_025,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/PAK4_HUMAN_291_591_ATP_0/5i0b_A_rec_5vef_m77_lig_tt_min_0_pocket10.pdb,/mnt/storage/data/molmetal/crossdocked/extracted/crossdocked_pocket10/PAK4_HUMAN_291_591_ATP_0/5i0b_A_rec_5vef_m77_lig_tt_min_0.sdf,,,,,CrossDocked2020_local
