smiles,source
c1ccc([P](c2ccccc2)(c2ccccc2)[Pt]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,platinai
O=C1[O-]->[Pt+2]2(<-[NH2][C@@H]3CCCC[C@H]3[NH2]->2)<-[O-]C1=O,platinai
[NH3]->[Pt+2]1(<-[NH3])<-[O-]CC(=O)[O-]->1,platinai
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai
CC(C)c1cccc(C(C)C)c1[N]1=Cc2c3ccccc3n3CC4CCC[O]4->[Y+3]<-1(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-[c-]23)<-[O]1CCCC1,platinai
c1cc2ccc3ccc[n]4->[Pt]5(<-[NH2]CC[NH2]->5)<-[n](c1)c2c34,tmqm
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(Nc2ccccn2)nc1.c1ccc(Nc2ccccn2)nc1,tmqm
Oc1cccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,metal_cytotox
Fc1c(F)c(F)c(C2=C3C=CC4=[N]3->[Pt+2]35<-[N]6=C(C=CC6=C(c6c(F)c(F)c(F)c(F)c6F)c6ccc2[n]63)C(c2c(F)c(F)c(F)c(F)c2F)=c2ccc([n]25)=C4c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,tmqm
CC(C)c1cccc(C(C)C)c1[N-](P(C(C)C)C(C)C)->[Y+3]1234(<-[CH2-]c5ccccc5[N]->1(C)C)<-[CH2-][c]->21cccc[c]->31[N]->4(C)C,tmqm
[CH3-]->[Pt+2]123(<-[CH3-])<-[CH]4=[CH]->1CC[CH]->2=[CH]->3CC4,platinai
c1cc[c-](->[Pt+2]234(<-[c-]5ccccc5)<-[CH]5=[CH]->2CC[CH]->3=[CH]->4CC5)cc1,tmqm
[C-]#[N+]CP(=O)(OCC)OCC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai
CC1[O-]->[Pt+2]2(<-[NH2]CC3CCC3C[NH2]->2)<-[O-]C1=O,platinai
CC#N.CC#N.CC#N.CC#N.[c-]1n(-c2ccccn2)cc[n+]1Cc1ccccc1,platinai
CCCCC1=[N](C(C)C)->[Sc+3]2345(<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-[N-]1C(C)C)<-[c]1(C)[c]->2(C)[c]->3(C)[c-]->4(C)[c]->51C,platinai
CC1(C)C2CC=C(C=C3C[Si](C)(C)[N-](C(C)(C)C)->[Y+3]456(<-[CH2-]3)<-[CH2-][C]->4(C[Si](C)(C)[N-]->5C(C)(C)C)=[CH]->6C3=CCC4CC3C4(C)C)C1C2,platinai
C[Si](C)(C)[CH-]([Si](C)(C)C)->[Zr+4]1234567(<-[cH]8[cH]->1[cH]->2[cH-]->3[cH]->4[cH]->5[cH-]->6[cH]->78)<-[CH-]([Si](C)(C)C)[Si](C)(C)C,platinai
Cc1ccc(C(C)C)cc1.[Cl-].[O-]/C(=N\N=C/c1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1,tmqm
CC1=CC(C)=[N](c2c(C)cccc2C)->[Y+3](<-[N-]1c1c(C)cccc1C)(<-[N-](c1ccccc1)P(c1ccccc1)c1ccccc1)<-[N-](c1ccccc1)P(c1ccccc1)c1ccccc1,platinai
c1ccc(-c2cc(-c3ccccc3)[n](->[Y+3]345(<-[n]6[nH]c(-c7ccccc7)cc6-c6ccccc6)(<-[n]6c(-c7ccccc7)cc(-c7ccccc7)[n-]->36)(<-[n]3c(-c6ccccc6)cc(-c6ccccc6)[n-]->43)<-[n]3c(-c4ccccc4)cc(-c4ccccc4)[n-]->53)[nH]2)cc1,metal_cytotox
[I-][Pt+2]1([I-])<-[NH2][C@@H]2CCCC[C@H]2[NH2]->1,platinai
C[C@@H]1[O-]->[Pt+2]2(<-[NH2]C[C@@H]3CC[C@H]3C[NH2]->2)<-[O-]C1=O,tmqm
CC#N.CC#N.Fc1c(F)c(F)c(C[n+]2[c-]n(-c3ccccn3)cc2)c(F)c1F.c1cnc2c(c1)ccc1cccnc12,tmqm
c1ccc([P](c2ccccc2)(c2ccccc2)[Pt]2(<-[CH2]=[CH2]->2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tmqm
[S-]c1ncccn1.c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccn2)cc1,platinai
