smiles,source,metal,scaffold_id,cluster_id
c1ccc([P](c2ccccc2)(c2ccccc2)[Pt]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,platinai,Pt,c1ccc([P](c2ccccc2)(c2ccccc2)[Pt]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0
O=C1[O-]->[Pt+2]2(<-[NH2][C@@H]3CCCC[C@H]3[NH2]->2)<-[O-]C1=O,platinai,Pt,C1CCCCC1,1
CC1[O-]->[Pt+2]2(<-[NH2]CC3CCC3C[NH2]->2)<-[O-]C1=O,platinai,Pt,C1CCC1,1
[I-][Pt+2]1([I-])<-[NH2][C@@H]2CCCC[C@H]2[NH2]->1,platinai,Pt,C1CCCCC1,1
C[C@@H]1[O-]->[Pt+2]2(<-[NH2]C[C@@H]3CC[C@H]3C[NH2]->2)<-[O-]C1=O,tmqm,Pt,C1CCC1,1
O=C1[O-]->[Pt+2]2(<-[NH2][C@@H]3CCCC[C@H]3[NH2]->2)<-[O-]C1=O,tmqm,Pt,C1CCCCC1,1
CCCCCCCCCCCCCC(=O)[O-]->[Pt+2]1(<-[NH2][C@@H]2CCCC[C@H]2[NH2]->1)<-[O-]C(=O)CCCCCCCCCCCCC,platinai,Pt,C1CCCCC1,1
[OH2]->[Pt]1(<-[OH2])<-[NH2][C@@H]2CCCC[C@H]2[NH2]->1,tmqm,Pt,C1CCCCC1,1
O=[N+]([O-])[O-]->[Pt+2]1(<-[NH2][C@@H]2CCCC[C@H]2[NH2]->1)<-[O-][N+](=O)[O-],tmqm,Pt,C1CCCCC1,1
O=CC(Br)=C(Br)C(=O)[O-]->[Pt+2]1(<-[NH2]C2CCCCC2[NH2]->1)<-[O-]C(=O)C(Br)=C(Br)C=O,metal_cytotox,Pt,C1CCCCC1,1
COCC1(C)C[NH2]->[Pt+2]2(<-[NH2]C1)<-[O-]C(=O)C1(C(=O)[O-]->2)CCC1,tmqm,Pt,C1CCC1,1
O=C([O-])CC(C(=O)[O-])C1[O-]->[Pt+2]2(<-[NH2]C3CCCCC3[NH2]->2)<-[O-]C1=O,tmqm,Pt,C1CCCCC1,1
