product_smiles,vina_score_kcal_mol,success_vs_ref
"c1ccc(-c2cn[nH]n2)cc1",-1.1820,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1820,1
"CCc1cn(CCO)nn1",-1.2310,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1810,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1790,1
"OCCc1cn(-c2ccccc2)nn1",-1.3810,1
"CCCc1cn(-c2ccc(F)cc2)nn1",-1.2790,1
"OCCCc1cn(-c2ccc(Cl)cc2)nn1",-1.3480,1
"CCCCc1cn(-c2ccc(O)cc2)nn1",-1.2780,1
"Nc1ccc(-n2cc(Cc3ccccc3)nn2)cc1",-1.4970,1
"O=C(O)c1ccc(-n2cc(Cc3ccc(F)cc3)nn2)cc1",-1.4840,1
"NC(=O)c1ccc(-n2cc(Cc3ccc(O)cc3)nn2)cc1",-1.4960,1
"Nc1ccc(Cc2cn(Cc3ccccc3)nn2)cc1",-1.8180,1
"COc1ccc(Cc2cn(C(=O)c3ccccc3)nn2)cc1",-1.7180,1
"CC(=O)n1cc(Cc2ccc(C(=O)O)cc2)nn1",-1.6300,1
"NC(=O)n1cc(Cc2ccncc2)nn1",-1.5630,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1810,1
"O=C(O)NCCn1cc(Cc2ccsc2)nn1",-1.2980,1
"O=C(O)Cc1cn(CCCCO)nn1",-1.1300,1
"NC(=O)Cc1cn(CCCC(=O)O)nn1",-1.1720,1
"COC(=O)Cc1cn(-c2ccncc2)nn1",-1.4110,1
"CN(C)CCc1cn(-c2ccoc2)nn1",-1.2360,1
"CN(C=O)CCc1cn(-c2ccsc2)nn1",-1.1910,1
"Fc1ccc(Cn2cc(CC3CCN3)nn2)cc1",-1.4510,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1510,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1820,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1820,1
"CCc1cn(CCO)nn1",-1.2230,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1800,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1820,1
"OCCc1cn(-c2ccccc2)nn1",-1.4060,1
"CCCc1cn(-c2ccc(F)cc2)nn1",-1.3410,1
"OCCCc1cn(-c2ccc(Cl)cc2)nn1",-1.2270,1
"CCCCc1cn(-c2ccc(O)cc2)nn1",-1.3240,1
"Nc1ccc(-n2cc(Cc3ccccc3)nn2)cc1",-1.5070,1
"O=C(O)c1ccc(-n2cc(Cc3ccc(F)cc3)nn2)cc1",-1.4970,1
"NC(=O)c1ccc(-n2cc(Cc3ccc(O)cc3)nn2)cc1",-1.4800,1
"Nc1ccc(Cc2cn(Cc3ccccc3)nn2)cc1",-1.7460,1
"COc1ccc(Cc2cn(C(=O)c3ccccc3)nn2)cc1",-1.6840,1
"CC(=O)n1cc(Cc2ccc(C(=O)O)cc2)nn1",-1.6780,1
"NC(=O)n1cc(Cc2ccncc2)nn1",-1.5670,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1760,1
"O=C(O)NCCn1cc(Cc2ccsc2)nn1",-1.2480,1
"O=C(O)Cc1cn(CCCCO)nn1",-1.1900,1
"NC(=O)Cc1cn(CCCC(=O)O)nn1",-1.2160,1
"COC(=O)Cc1cn(-c2ccncc2)nn1",-1.2900,1
"CN(C)CCc1cn(-c2ccoc2)nn1",-1.2120,1
"CN(C=O)CCc1cn(-c2ccsc2)nn1",-1.1560,1
"Fc1ccc(Cn2cc(CC3CCN3)nn2)cc1",-1.6260,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1830,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1820,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1720,1
"CCc1cn(CCO)nn1",-1.2990,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1800,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1810,1
"OCCc1cn(-c2ccccc2)nn1",-1.3880,1
"CCCc1cn(-c2ccc(F)cc2)nn1",-1.2870,1
"OCCCc1cn(-c2ccc(Cl)cc2)nn1",-1.2410,1
"CCCCc1cn(-c2ccc(O)cc2)nn1",-1.3050,1
"Nc1ccc(-n2cc(Cc3ccccc3)nn2)cc1",-1.5130,1
"O=C(O)c1ccc(-n2cc(Cc3ccc(F)cc3)nn2)cc1",-1.5050,1
"NC(=O)c1ccc(-n2cc(Cc3ccc(O)cc3)nn2)cc1",-1.4760,1
"Nc1ccc(Cc2cn(Cc3ccccc3)nn2)cc1",-1.8200,1
"COc1ccc(Cc2cn(C(=O)c3ccccc3)nn2)cc1",-1.7090,1
"CC(=O)n1cc(Cc2ccc(C(=O)O)cc2)nn1",-1.6860,1
"NC(=O)n1cc(Cc2ccncc2)nn1",-1.5640,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1820,1
"O=C(O)NCCn1cc(Cc2ccsc2)nn1",-1.2630,1
"O=C(O)Cc1cn(CCCCO)nn1",-1.2140,1
"NC(=O)Cc1cn(CCCC(=O)O)nn1",-1.2180,1
"COC(=O)Cc1cn(-c2ccncc2)nn1",-1.3430,1
"CN(C)CCc1cn(-c2ccoc2)nn1",-1.3540,1
"CN(C=O)CCc1cn(-c2ccsc2)nn1",-1.2020,1
"Fc1ccc(Cn2cc(CC3CCN3)nn2)cc1",-1.6020,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1810,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1820,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1750,1
