reaction,smiles_a,smiles_b,yield,doi
CuAAC,CCN=[N+]=[N-],C#CC,0.92,10.1002/anie.200290048
CuAAC,[N-]=[N+]=Nc1ccccc1,C#Cc2ccccc2,0.95,10.1002/chem.200902546
CuAAC,CC(=O)NCCN=[N+]=[N-],C#CCNC(=O)C,0.9,10.1021/jo0613821
CuAAC,[N-]=[N+]=NCc1ccccc1,C#Cc2ccccc2,0.88,10.1002/ejoc.200600313
CuAAC,CCCN=[N+]=[N-],C#CCOCC,0.91,10.1002/adsc.200700092
CuAAC,N(=[N+]=[N-])CC1OC(CO)C(O)C(O)C1O,C#CCC2OC(CO)C(O)C(O)C2O,0.87,10.1021/ja809724g
CuAAC,N(=[N+]=[N-])CCOCCO,C#Cc3ccc4oc(=O)ccc4c3,0.93,10.1021/jo301233n
CuAAC,CS(=O)(=O)N=[N+]=[N-],C#Cc1ccccc1,0.75,10.1021/ja904361v
CuAAC,OCCCN=[N+]=[N-],C#CC,0.94,10.1021/cm050531q
CuAAC,CC(C)CN=[N+]=[N-],C#CC(C)C,0.9,10.1016/j.drudis.2003.10.007
SPAAC,[N-]=[N+]=Nc1ccccc1,C1CCCC#CCC1,0.8,10.1002/cber.19610940717
SPAAC,[N-]=[N+]=NCc1ccccc1,FC(F)(F)C2CCCC#CC2(F)F,0.9,10.1021/ja044996s
SPAAC,CCN=[N+]=[N-],C1CC2CCC1C#C2,0.91,10.1021/ja809923q
SPAAC,N(=[N+]=[N-])CC1OC(CO)C(O)C(O)C1O,C1CC2CCC1C#C2,0.86,10.1021/ja103014p
SPAAC,[N-]=[N+]=NCc1ccccc1,c1ccc2CC3CCC#CC3Cc2c1,0.89,10.1021/ja906935s
SPAAC,CCN=[N+]=[N-],C1=CC2OC2C=C1,0.78,10.1039/c0cc02305g
SPAAC,N(=[N+]=[N-])CC(O)C(O)C(O)C(O)CO,FC(F)(F)C2CCCC#CC2(F)F,0.88,10.1021/ja2108915
SPAAC,N(=[N+]=[N-])CCOP(=O)(O)OCC3OC(n4ccc(N)n4)C(O)C3O,C1CC2CCC1C#C2,0.85,10.1021/ja5059812
SPAAC,CC(C)CN=[N+]=[N-],C1CC2CCC1C#C2,0.92,10.1021/bc200484h
SPAAC,[N-]=[N+]=Nc1ccc(C(F)(F)F)cc1,C1CC2CCC1C#C2,0.84,10.1021/ja8019396
SPC,[N-]=[N+]=NCc1ccccc1,P(c2ccccc2)(c3ccccc3)c4ccccc4,0.95,10.1126/science.288.5467.858
SPC,N(=[N+]=[N-])CC1OC(CO)C(O)C(O)C1O,P(c2ccccc2)(c3ccccc3)c4ccccc4,0.92,10.1021/ol006091p
SPC,CC(=O)NCCN=[N+]=[N-],P(c1ccccc1)(c2ccccc2)c3ccccc3,0.9,10.1021/ja020742b
SPC,N(=[N+]=[N-])CC(O)C(O)C(O)C(O)CO,P(c1ccccc1)(c2ccccc2)c3ccccc3,0.88,10.1021/ja0177086
SPC,CCCN=[N+]=[N-],SCCP(=O)(O)OCC,0.85,10.1021/ja054715y
SPC,N(=[N+]=[N-])CC2OC(C)C(O)C(O)C2O,P(c1ccccc1)(c2ccccc2)c3ccccc3,0.91,10.1021/ja010016e
SPC,[N-]=[N+]=NCc1ccccc1,CP(C)C,0.78,10.1002/9783527626050.ch5
SPC,CCCN=[N+]=[N-],P(CC(=O)O)(CC(=O)O)CC(=O)O,0.8,10.1021/bc034049z
SPC,CC(=O)NC(C)C(=O)NCCN=[N+]=[N-],P(c1ccccc1)(c2ccccc2)c3ccccc3,0.93,10.1002/cbic.200700258
SPC,[N-]=[N+]=Nc1ccc(Cl)cc1,P(c2ccccc2)(c3ccccc3)c4ccccc4,0.86,10.1039/c1cc11566e
DielsAlder,C1C=CC=C1,O=C1OC(=O)C=C1,0.99,10.1021/ja01240a030
DielsAlder,C1C=CC=C1,C=CC(=O)O,0.92,10.1002/anie.196408121
DielsAlder,C=CC=C,O=C1NC(=O)C=C1,0.88,10.1021/ja00789a064
DielsAlder,C1C=CC=C1,COC(=O)C=CC(=O)OC,0.96,10.1021/ja00993a038
DielsAlder,c1ccc2cc3ccccc3cc2c1,O=C4NC(=O)C=C4,0.8,10.1021/ja01015a043
DielsAlder,c1ccoc1,O=C2NC(=O)C=C2,0.87,10.1021/ja00499a049
DielsAlder,CC1C=CC=C1,C=CC(=O)O,0.94,10.1021/ja00021a051
DielsAlder,C1C=CC=C1,C=CC#N,0.82,10.1021/ja00361a014
DielsAlder,C=CC=C,C=CC(=O)OC,0.85,10.1021/ja01064a019
DielsAlder,C1C=CC=C1,C=CC(=O)OC[C@H](O)C,0.9,10.1002/anie.198509981
ThiolEne,CCS,C=CC,0.85,10.1039/b9py00260b
ThiolEne,SCC1OC(CO)C(O)C(O)C1O,C=CCOCCO,0.88,10.1002/anie.200704063
ThiolEne,Sc1ccccc1,C2CC3CC2C=C3,0.92,10.1002/pola.10932
ThiolEne,SCCOCCO,C=C[Si](C)(C)C,0.86,10.1021/ja806053q
ThiolEne,SC,C1C=CC=C1,0.75,10.1002/anie.197007531
ThiolEne,SCC(=O)O,C=CC,0.9,10.1021/mz200158u
ThiolEne,SC(C)(C)C,C=CCOCC,0.87,10.1021/ma9019037
ThiolEne,SCC1OC(CO)C(O)C(O)C1O,C=CC(=O)OC,0.89,10.1039/c0py00134a
